Site_ID,medium_cd,site_no,Piez_Nest,Site_name,sample_dt,Date_Analyzed,coll_ent_cd,remark_cd,result_va,result_va_meq,meth_cd,rpt_lev_va,anl_ent_cd,parameter_nm,srsname,parameter_units,Source,Sample.area.or.well.piezometer.Unit.Formation.of.Screened.Interval,Latitude,Latitude_Datum,Longitude,LandSurfaceElevation_ft..NAVD88,Well_Depth_ft..BLS,Top.of.Sample_ftBLS,Bottom.of.Sample_ftBLS,MeanSampleDepth_ftBLS
HT-140,WG,4.65652E+14,HFC_1,HFC,9/12/2017,NA,USGS,NA,280,4.590163934,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Till,"46°56'52.79""",NAD83,"94°39'47.84""",1452.39,140.44,137.77,140.25,139.01
HT-175,WG,4.65652E+14,HFC_1,HFC,9/12/2017,NA,USGS,NA,237,3.885245902,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Till,"46°56'52.89""",NAD83,"94°39'47.87""",1452.04,175.14,172.47,174.95,173.71
HT-200,WG,4.65652E+14,HFC_1,HFC,9/12/2017,NA,USGS,NA,226,3.704918033,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Till,"46°56'52.9""",NAD83,"94°39'48.01""",1452.04,197.89,195.22,197.7,196.46
LFO2-A,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,NA,USGS,NA,453,7.426229508,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Semi-Confined Aquifer,"45°08'32""",NAD83,"94°32'12""",1139.45,19.99,17.12,19.78,18.45
LFO2-B,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,NA,USGS,NA,314,5.147540984,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.29,35.13,32.26,34.92,33.59
LFO2-C,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,NA,USGS,NA,364,5.967213115,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.72,59.84,56.97,59.63,58.3
LFO2-D,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,NA,USGS,NA,416,6.819672131,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.18,85.14,82.27,84.93,83.6
LFO2-E,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,NA,USGS,NA,418,6.852459016,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.64,113.82,110.95,113.61,112.28
LFO2-F,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,NA,USGS,NA,257,4.213114754,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Confined Aquifer,"45°08'32""",NAD83,"94°32'12""",1139.47,162.42,149.56,159.18,154.37
MW-01,WG,4.65652E+14,HFC_1,HFC,9/11/2017,NA,USGS,NA,224,3.672131148,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Surficial aquifer,"46°56'52.45""",NAD83,"94°39'47.79""",1453.54,85,80,85,82.5
Olivia-4,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,NA,USGS,NA,408,6.68852459,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Buried aquifer,"44°46'29.65""",NAD83,"95°00'21.65""",1071,238,204,228,216
Olivia-5,WG,4.44639E+14,Ol_1,Olivia,10/24/2017,NA,USGS,NA,462,7.573770492,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Buried aquifer,"44°46'39.47""",NAD83,"95°00'21.78""",1075.01,226,228,238,233
OT-105,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,NA,USGS,NA,430,7.049180328,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Till,"44°46'30.64""",NAD83,"95°00'21.74""",1071.61,105.1,101.95,104.94,103.445
OT-13,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,NA,USGS,NA,585,9.590163934,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Surficial aquifer,"44°46'30.34""",NAD83,"95°00'21.43""",1070.51,13.15,7.89,13.03,10.46
OT-145,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,NA,USGS,NA,442,7.245901639,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Till,"44°46'30.53""",NAD83,"95°00'21.75""",1071.44,144.26,141.15,144.13,142.64
OT-175,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,NA,USGS,NA,436,7.147540984,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Till,"44°46'30.43""",NAD83,"95°00'21.75""",1071.46,175.39,172.26,175.26,173.76
OT-20,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,NA,USGS,NA,724,11.86885246,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1070.75,20.17,17.44,19.91,18.675
OT-60,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,NA,USGS,NA,464,7.606557377,ASM01,NA,USGS-WRD,Bicarbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Bicarbonate,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1070.67,59.91,56.74,59.77,58.255
CWO1-A,WG,4.6411E+14,CW_1,Cromwell,5/13/2016,20160622,USGS,NA,51.8,2.59,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Till,"46°41'10""",NAD83,"92°53'14""",1326.28,147.97,144.56,147.36,145.96
CWO1-B,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,20160622,USGS,NA,43.8,2.19,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Confined Aquifer,"46°41'10""",NAD83,"92°53'14""",1326.29,230.87,220.91,230.53,225.72
CWO1-C,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,20160622,USGS,NA,45.3,2.265,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Bedrock Aquifer / Thomson Formation,"46°41'10""",NAD83,"92°53'14""",1326.25,339.59,329.63,339.25,334.44
CWO2-A,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160622,USGS,NA,67.3,3.365,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Semi-Confined Aquifer,"46°41'12""",NAD83,"92°53'14""",1332.28,35.17,32.3,34.96,33.63
CWO2-B,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,20160622,USGS,NA,46.4,2.32,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.59,59.62,56.75,59.41,58.08
CWO2-C,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,20160622,USGS,NA,52.8,2.64,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.33,81.57,78.7,81.36,80.03
CWO2-D,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160622,USGS,NA,50.4,2.52,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.13,106.45,103.58,106.24,104.91
CWO2-E,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160622,USGS,NA,61.8,3.09,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.44,128.65,125.78,128.44,127.11
HB-3,WG,4.65652E+14,HFC_1,HFC,9/11/2017,20171006,USGS,NA,53.8,2.69,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Buried aquifer,"46°56'52.84""",NAD83,"94°39'47.2""",1453.03,223.66,213.33,223.53,218.43
HT-115,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171006,USGS,NA,52.9,2.645,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Till,"46°56'52.81""",NAD83,"94°39'47.97""",1452,115.02,112.35,114.83,113.59
HT-140,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171006,USGS,NA,21.2,1.06,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Till,"46°56'52.79""",NAD83,"94°39'47.84""",1452.39,140.44,137.77,140.25,139.01
HT-175,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171007,USGS,NA,47.6,2.38,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Till,"46°56'52.89""",NAD83,"94°39'47.87""",1452.04,175.14,172.47,174.95,173.71
HT-200,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171007,USGS,NA,52.9,2.645,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Till,"46°56'52.9""",NAD83,"94°39'48.01""",1452.04,197.89,195.22,197.7,196.46
LFO2-A,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160621,USGS,NA,109,5.45,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Semi-Confined Aquifer,"45°08'32""",NAD83,"94°32'12""",1139.45,19.99,17.12,19.78,18.45
LFO2-B,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160621,USGS,NA,115,5.75,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.29,35.13,32.26,34.92,33.59
LFO2-C,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160621,USGS,NA,104,5.2,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.72,59.84,56.97,59.63,58.3
LFO2-D,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160615,USGS,NA,108,5.4,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.18,85.14,82.27,84.93,83.6
LFO2-E,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160615,USGS,NA,75.7,3.785,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.64,113.82,110.95,113.61,112.28
LFO2-F,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160615,USGS,NA,76.6,3.83,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Confined Aquifer,"45°08'32""",NAD83,"94°32'12""",1139.47,162.42,149.56,159.18,154.37
MW-01,WG,4.65652E+14,HFC_1,HFC,9/11/2017,20171006,USGS,NA,56,2.8,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Surficial aquifer,"46°56'52.45""",NAD83,"94°39'47.79""",1453.54,85,80,85,82.5
Olivia-4,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,39.8,1.99,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Buried aquifer,"44°46'29.65""",NAD83,"95°00'21.65""",1071,238,204,228,216
Olivia-5,WG,4.44639E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,55.5,2.775,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Buried aquifer,"44°46'39.47""",NAD83,"95°00'21.78""",1075.01,226,228,238,233
OT-105,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171122,USGS,NA,52.7,2.635,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Till,"44°46'30.64""",NAD83,"95°00'21.74""",1071.61,105.1,101.95,104.94,103.445
OT-13,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,132,6.6,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Surficial aquifer,"44°46'30.34""",NAD83,"95°00'21.43""",1070.51,13.15,7.89,13.03,10.46
OT-145,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171122,USGS,NA,44.8,2.24,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Till,"44°46'30.53""",NAD83,"95°00'21.75""",1071.44,144.26,141.15,144.13,142.64
OT-175,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171122,USGS,NA,53.1,2.655,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Till,"44°46'30.43""",NAD83,"95°00'21.75""",1071.46,175.39,172.26,175.26,173.76
OT-20,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,150,7.5,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1070.75,20.17,17.44,19.91,18.675
OT-60,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,31.7,1.585,PLA11,0.022,USGSNWQL,Calcium_ water_ filtered_ milligrams per liter,Calcium,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1070.67,59.91,56.74,59.77,58.255
CWO1-A,WG,4.6411E+14,CW_1,Cromwell,5/13/2016,NA,USGS,NA,1.6,0.053333333,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Till,"46°41'10""",NAD83,"92°53'14""",1326.28,147.97,144.56,147.36,145.96
CWO1-B,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,NA,USGS,NA,0.4,0.013333333,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Confined Aquifer,"46°41'10""",NAD83,"92°53'14""",1326.29,230.87,220.91,230.53,225.72
CWO1-C,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,NA,USGS,NA,1,0.033333333,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Bedrock Aquifer / Thomson Formation,"46°41'10""",NAD83,"92°53'14""",1326.25,339.59,329.63,339.25,334.44
CWO2-A,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,NA,USGS,NA,0.2,0.006666667,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Semi-Confined Aquifer,"46°41'12""",NAD83,"92°53'14""",1332.28,35.17,32.3,34.96,33.63
CWO2-B,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,NA,USGS,NA,2.8,0.093333333,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.59,59.62,56.75,59.41,58.08
CWO2-C,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,NA,USGS,NA,1.2,0.04,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.33,81.57,78.7,81.36,80.03
CWO2-D,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,NA,USGS,NA,1.2,0.04,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.13,106.45,103.58,106.24,104.91
CWO2-E,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,NA,USGS,NA,1.2,0.04,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.44,128.65,125.78,128.44,127.11
HB-3,WG,4.65652E+14,HFC_1,HFC,9/11/2017,NA,USGS,NA,0.5,0.016666667,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Buried aquifer,"46°56'52.84""",NAD83,"94°39'47.2""",1453.03,223.66,213.33,223.53,218.43
HT-115,WG,4.65652E+14,HFC_1,HFC,9/12/2017,NA,USGS,NA,0.7,0.023333333,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Till,"46°56'52.81""",NAD83,"94°39'47.97""",1452,115.02,112.35,114.83,113.59
HT-140,WG,4.65652E+14,HFC_1,HFC,9/12/2017,NA,USGS,NA,2.3,0.076666667,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Till,"46°56'52.79""",NAD83,"94°39'47.84""",1452.39,140.44,137.77,140.25,139.01
HT-175,WG,4.65652E+14,HFC_1,HFC,9/12/2017,NA,USGS,NA,0.6,0.02,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Till,"46°56'52.89""",NAD83,"94°39'47.87""",1452.04,175.14,172.47,174.95,173.71
HT-200,WG,4.65652E+14,HFC_1,HFC,9/12/2017,NA,USGS,NA,0.3,0.01,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Till,"46°56'52.9""",NAD83,"94°39'48.01""",1452.04,197.89,195.22,197.7,196.46
LFO2-A,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,NA,USGS,NA,0.7,0.023333333,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Semi-Confined Aquifer,"45°08'32""",NAD83,"94°32'12""",1139.45,19.99,17.12,19.78,18.45
LFO2-B,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,NA,USGS,NA,0.6,0.02,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.29,35.13,32.26,34.92,33.59
LFO2-C,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,NA,USGS,NA,0.7,0.023333333,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.72,59.84,56.97,59.63,58.3
LFO2-D,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,NA,USGS,NA,0.8,0.026666667,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.18,85.14,82.27,84.93,83.6
LFO2-E,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,NA,USGS,NA,1.1,0.036666667,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.64,113.82,110.95,113.61,112.28
LFO2-F,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,NA,USGS,NA,0.5,0.016666667,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Confined Aquifer,"45°08'32""",NAD83,"94°32'12""",1139.47,162.42,149.56,159.18,154.37
MW-01,WG,4.65652E+14,HFC_1,HFC,9/11/2017,NA,USGS,NA,0.5,0.016666667,ASM01,NA,USGS-WRD,Carbonate_ water_ filtered_ inflection-point titration method (incremental titration method)_ field_ milligrams per liter,Carbonate (CO3),mg/l,USGS water quality data,Surficial aquifer,"46°56'52.45""",NAD83,"94°39'47.79""",1453.54,85,80,85,82.5
